go .	va !
we lost .	nous avons été défaites .
we lost .	nous avons été battus .
we lost .	nous avons été battues .
welcome .	bienvenue !
who won ?	qui a gagné ?
who won ?	qui l'a emporté ?
you run .	tu cours .
am i fat ?	suis-je gros ?
am i fat ?	suis-je grosse ?
ask them .	demande-leur .
ask them .	demandez-leur .
back off !	recule  !
back off !	reculez .
back off .	recule  !
back off .	reculez .
back off .	retire-toi  !
back off .	retirez-vous .
be a man .	sois un homme !
be a man .	soyez un homme !
be still .	sois calme !
be still .	soyez calme !
be still .	soyez calmes !
beats me .	aucune idée .
beats me .	j'en sais foutre rien .
call tom .	appelle tom .
call tom .	appelez tom .
cheer up !	courage !
cool off !	détends-toi !
cuff him .	menottez-le .
drive on .	avance !
drive on .	avancez !
drive on .	continue à rouler !
drive on .	continuez à rouler !
find tom .	trouve tom .
find tom .	trouvez tom .
fix this .	réparez ceci .
fix this .	répare ça .
get down !	lâche-toi !
get down .	descends !
get down .	descendez !
get down .	lâche-toi !
get down .	lâchez-vous !
get lost !	va voir ailleurs si j'y suis !
get lost !	dégage !
get lost !	va au diable !
get real !	sois réaliste !
go ahead .	vas-y .
go ahead .	poursuis !
go ahead .	passe devant !
go ahead .	vas-y !
good job !	bien joué !
good job !	bon boulot !
good job !	beau travail !
grab him .	attrape-le .
grab him .	attrapez-le .
have fun .	amuse-toi bien !
have fun .	amusez-vous bien !
he tries .	il essaye .
he's wet .	il est mouillé .
help tom .	aide tom .
help tom .	aidez tom .
hi , guys .	salut , les mecs !
how cute !	comme c'est mignon !
how deep ?	quelle profondeur ?
how nice !	comme c'est chouette !
how nice !	comme c'est gentil !
how nice !	c'est du joli !
how nice !	comme c'est agréable !
humor me .	fais-moi rire .
hurry up .	dépêche-toi .
hurry up .	grouille !
hurry up .	pressez-vous !
hurry up .	fiça !
i am fat .	je suis gras .
i did ok .	je m'en suis bien sorti .
i did ok .	je m'en suis bien sortie .
i did it .	je l'ai fait .
i did it .	c'est moi qui l'ai fait .
i failed .	j'ai échoué .
i forgot .	j'ai oublié .
i get it .	j'ai compris .
i got it .	j'ai compris .
i got it .	j'ai capté .
i helped .	j'ai aidé .
i jumped .	j'ai sauté .
